id,publish_date,japanese,english,explanation,example_ja,example_en,alternatives,quiz,caption,status
"0011","2026-08-22","どういう意味？","What do you mean?","相手の発言の意図を確認するときの基本表現です。強く言うと問い詰める響きになるため、穏やかな声で使います。","それってどういう意味？","What do you mean by that?","What does that mean? / Could you explain?","相手の意図を確認したいときの定番表現は？","今日の1000本ノックは「どういう意味？」。聞き返しを味方につけよう！保存して3回音読。 #英語1000本ノック #英会話","approved"
"0012","2026-08-23","たしかに","That's true.","相手の意見に納得したときの自然な相づちです。全面的な賛成だけでなく、一理あると認める場面にも使えます。","たしかに、その方法のほうが早いね。","That's true. That way is faster.","Good point. / You're right.","相手の意見に「一理ある」と返す表現は？","今日の1000本ノックは「たしかに」。賛成の相づちを増やしましょう。保存して3回練習！ #英語1000本ノック #英会話","approved"
"0013","2026-08-24","どっちでもいいよ","Either is fine.","2つの選択肢のどちらでも問題ないと伝える表現です。Whatever. は投げやりに聞こえることがあるので注意します。","電車とバス、どっちがいい？どっちでもいいよ。","Train or bus? Either is fine.","Either works for me. / I don't mind.","2つの案のどちらでもよいと丁寧に伝える表現は？","今日の1000本ノックは「どっちでもいいよ」。Whatever. との違いも覚えよう！保存して3回音読。 #英語1000本ノック #英会話","approved"
"0014","2026-08-25","今向かってる","I'm on my way.","目的地へすでに移動中だと伝える定番表現です。今から出る場合は I'm leaving now. が明確です。","今どこ？今向かってるよ。","Where are you? I'm on my way.","I'm heading there now. / I'm coming.","すでに目的地へ移動中だと伝える表現は？","今日の1000本ノックは「今向かってる」。待ち合わせで必ず使えるひと言です。保存して3回練習！ #英語1000本ノック #英会話","approved"
"0015","2026-08-26","もう一度言って","Could you say that again?","聞き取れなかったときの丁寧で自然な聞き返しです。命令形より Could you を使うとやわらかくなります。","すみません、もう一度言ってもらえますか？","Sorry, could you say that again?","Could you repeat that? / Sorry?","聞き取れなかったときの丁寧な聞き返しは？","今日の1000本ノックは「もう一度言って」。聞き返せれば英会話はもっと楽になります。保存して3回音読！ #英語1000本ノック #英会話","approved"
"0016","2026-08-27","今日は無理","I can't make it today.","予定や集まりに参加できないと伝える自然な表現です。能力的にできないという意味ではなく、都合がつかないという意味です。","今日の飲み会来る？ごめん、今日は無理。","Are you coming tonight? Sorry, I can't make it today.","I can't come today. / Today doesn't work for me.","予定に参加できないと自然に断る表現は？","今日の1000本ノックは「今日は無理」。角を立てずに予定を断る表現です。保存して3回練習！ #英語1000本ノック #英会話","approved"
"0017","2026-08-28","久しぶり","Long time no see.","長く会っていなかった相手へのカジュアルなあいさつです。より自然に会話を続けるなら It's been a while. も便利です。","久しぶり！元気だった？","Long time no see! How have you been?","It's been a while. / Great to see you again.","しばらく会っていない友人への定番あいさつは？","今日の1000本ノックは「久しぶり」。再会の会話をこのひと言から始めよう！保存して3回音読。 #英語1000本ノック #英会話","approved"
"0018","2026-08-29","さすがだね","I knew you could do it.","相手の実力を以前から信じていたと褒める表現です。「期待どおり、さすが」という気持ちが伝わります。","試験に受かったよ。さすがだね！","I passed the exam. I knew you could do it!","That's impressive. / Just as expected.","相手の成功を「できると思っていた」と褒める表現は？","今日の1000本ノックは「さすがだね」。相手が喜ぶ自然な褒め言葉を練習！保存して3回音読。 #英語1000本ノック #英会話","approved"
"0019","2026-08-30","了解","Got it.","説明や依頼を理解したとカジュアルに伝える表現です。仕事でも使えますが、より丁寧なら Understood. が合います。","資料は3時までに送ってね。了解。","Send me the file by three. Got it.","Understood. / Will do.","依頼を理解したと短く返す表現は？","今日の1000本ノックは「了解」。短く自然に返事できる定番表現です。保存して3回練習！ #英語1000本ノック #英会話","approved"
"0020","2026-08-31","お先にどうぞ","After you.","ドアや順番を相手に譲るときの短く丁寧な表現です。手ぶりを添えるとさらに自然です。","どうぞ、お先に。","After you.","You go ahead. / Please, go ahead.","ドアや順番を相手に譲るときの一言は？","今日の1000本ノックは「お先にどうぞ」。たった2語のスマートな気遣いです。保存して3回音読！ #英語1000本ノック #英会話","approved"
"0021","2026-09-01","ちょっと考えさせて","Let me think about it.","その場ですぐ答えず、考える時間がほしいと伝える表現です。断る前置きとして使われることもあります。","この提案どう？ちょっと考えさせて。","What do you think of the offer? Let me think about it.","I'll think it over. / Can I get back to you?","返事の前に考える時間がほしいと伝える表現は？","今日の1000本ノックは「ちょっと考えさせて」。即答を避けたいときに便利です。保存して3回練習！ #英語1000本ノック #英会話","approved"
"0022","2026-09-02","なんとかなる","It'll work out.","問題があっても最終的にはうまくいくと前向きに伝える表現です。自分や相手を励ますときに使います。","まだ準備できてないけど、なんとかなるよ。","We're not ready yet, but it'll work out.","We'll figure it out. / It'll be okay.","最終的にはうまくいくと励ます表現は？","今日の1000本ノックは「なんとかなる」。前向きな気持ちを英語で伝えよう！保存して3回音読。 #英語1000本ノック #英会話","approved"
"0023","2026-09-03","やっぱりね","I knew it.","予想していたことが当たったときの表現です。言い方によって得意げにも、あきれた感じにも聞こえます。","彼も来るって。やっぱりね。","He's coming too. I knew it.","That's what I thought. / I had a feeling.","予想どおりだったときの短い反応は？","今日の1000本ノックは「やっぱりね」。予想が当たった瞬間に使ってみよう！保存して3回練習。 #英語1000本ノック #英会話","approved"
"0024","2026-09-04","間に合った","I made it.","時間や締め切りにぎりぎり間に合ったときの自然な表現です。到着できた、やり遂げたという意味にもなります。","ぎりぎり間に合った！","I made it just in time!","I got here in time. / Just in time.","ぎりぎり到着できたときの自然な一言は？","今日の1000本ノックは「間に合った」。到着した瞬間に使える表現です。保存して3回音読！ #英語1000本ノック #英会話","approved"
"0025","2026-09-05","無理しないで","Don't push yourself.","頑張りすぎている相手を気遣う表現です。体調が悪い人や仕事を抱えすぎている人に使えます。","疲れてるみたい。無理しないでね。","You look tired. Don't push yourself.","Take it easy. / Don't overdo it.","頑張りすぎている相手を気遣う表現は？","今日の1000本ノックは「無理しないで」。相手を思いやるひと言を英語で。保存して3回練習！ #英語1000本ノック #英会話","approved"
"0026","2026-09-06","おごるよ","It's on me.","食事や飲み物の代金を自分が払うと伝える定番表現です。I'll treat you. より会計時にさらっと使えます。","今日は私がおごるよ。","Dinner is on me tonight.","My treat. / I'll pay.","会計を自分が持つとスマートに伝える表現は？","今日の1000本ノックは「おごるよ」。会計でさらっと言えるようにしよう！保存して3回音読。 #英語1000本ノック #英会話","approved"
"0027","2026-09-07","それで大丈夫","That works for me.","提案された時間や方法で都合がよいと伝える表現です。仕事の予定調整でもよく使われます。","3時に会うのはどう？それで大丈夫。","How about meeting at three? That works for me.","Sounds good. / That's fine with me.","提案された予定で都合がよいと返す表現は？","今日の1000本ノックは「それで大丈夫」。予定調整で役立つ表現です。保存して3回練習！ #英語1000本ノック #英会話","approved"
"0028","2026-09-08","ちょっと待って","Hold on a second.","短い時間待ってほしいとカジュアルに伝える表現です。電話でも対面でも使えます。","ちょっと待って、今確認する。","Hold on a second. I'll check.","Just a moment. / Give me a second.","相手に少しだけ待ってもらう表現は？","今日の1000本ノックは「ちょっと待って」。会話ですぐ使える定番フレーズです。保存して3回音読！ #英語1000本ノック #英会話","approved"
"0029","2026-09-09","気をつけて","Take care.","別れ際に相手の安全や健康を気遣う表現です。危険への具体的な注意なら Be careful. を使います。","もう帰るね。気をつけて。","I'm heading home. Take care.","Have a safe trip. / Be careful.","別れ際に相手を気遣う自然なひと言は？","今日の1000本ノックは「気をつけて」。Take care. と Be careful. を使い分けよう！保存して3回練習。 #英語1000本ノック #英会話","approved"
"0030","2026-09-10","まさか！","You're kidding!","驚いて「冗談でしょ」と反応するカジュアルな表現です。本当に冗談かどうかを尋ねるだけでなく、強い驚きを表します。","来月結婚するんだ。まさか！","I'm getting married next month. You're kidding!","Seriously? / I can't believe it.","予想外の知らせに「冗談でしょ」と反応する表現は？","今日の1000本ノックは「まさか！」。驚きのリアクションを声に出して練習！保存して3回音読。 #英語1000本ノック #英会話","approved"
"0031","2026-09-11","どうしよう","What should I do?","困っていて、何をすべきか迷うときの基本表現です。独り言なら What am I going to do? もよく使います。","財布をなくした。どうしよう。","I lost my wallet. What should I do?","What am I going to do? / Any ideas?","困って助言を求めるときの基本表現は？","今日の1000本ノックは「どうしよう」。困った場面で助けを求めるひと言です。保存して3回練習！ #英語1000本ノック #英会話","approved"
